XYDATA McStas simulated data for BEER at ESS on duplex sample
  ...
  ...
  ...
INTER   1.0   1.0   0  0
TEMP  300.0
   4800.744        1        1
   4802.616        1        1
   4804.488        1        1
   4806.360        1        1
   4808.232        1        1
   4810.104        1        1
   4811.976        1        1
   4813.848        1        1
   4815.720        1        1
   4817.592        1        1
   4819.464        1        1
   4821.336        1        1
   4823.208        1        1
   4825.080        1        1
   4826.952        1        1
   4828.824        1        1
   4830.696        1        1
   4832.568        1        1
   4834.440        1        1
   4836.312        1        1
   4838.184        1        1
   4840.056        1        1
   4841.928        1        1
   4843.800        1        1
   4845.672        1        1
   4847.544        1        1
   4849.416        1        1
   4851.288        1        1
   4853.160        1        1
   4855.032        1        1
   4856.904        1        1
   4858.776        1        1
   4860.648        1        1
   4862.520        1        1
   4864.392        1        1
   4866.264        1        1
   4868.136        1        1
   4870.008        1        1
   4871.880        1        1
   4873.752        1        1
   4875.624        1        1
   4877.496        1        1
   4879.368        1        1
   4881.240        1        1
   4883.112        1        1
   4884.984        1        1
   4886.856        1        1
   4888.728        1        1
   4890.600        1        1
   4892.472        1        1
   4894.344        1        1
   4896.216        1        1
   4898.088        1        1
   4899.960        1        1
   4901.832        1        1
   4903.704        1        1
   4905.576        1        1
   4907.448        1        1
   4909.320        1        1
   4911.192        1        1
   4913.064        1        1
   4914.936        1        1
   4916.808        1        1
   4918.680        1        1
   4920.552        1        1
   4922.424        1        1
   4924.296        1        1
   4926.168        1        1
   4928.040        1        1
   4929.912        1        1
   4931.784        1        1
   4933.656        1        1
   4935.528        1        1
   4937.400        1        1
   4939.272        1        1
   4941.144        1        1
   4943.016        1        1
   4944.888        1        1
   4946.760        1        1
   4948.632        1        1
   4950.504        1        1
   4952.376        1        1
   4954.248        1        1
   4956.120        1        1
   4957.992        1        1
   4959.864        1        1
   4961.736        1        1
   4963.608        1        1
   4965.480        1        1
   4967.352        1        1
   4969.224        1        1
   4971.096        1        1
   4972.968        1        1
   4974.840        1        1
   4976.712        1        1
   4978.584        1        1
   4980.456        1        1
   4982.328        1        1
   4984.200        1        1
   4986.072        1        1
   4987.944        1        1
   4989.816        1        1
   4991.688        1        1
   4993.560        1        1
   4995.432        1        1
   4997.304        1        1
   4999.176        1        1
   5001.048        1        1
   5002.920        1        1
   5004.792        1        1
   5006.664        1        1
   5008.536        1        1
   5010.408        1        1
   5012.280        1        1
   5014.152        1        1
   5016.024        1        1
   5017.896        1        1
   5019.768        1        1
   5021.640        1        1
   5023.512        1        1
   5025.384        1        1
   5027.256        1        1
   5029.128        1        1
   5031.000        1        1
   5032.872        1        1
   5034.744        1        1
   5036.616        1        1
   5038.488        1        1
   5040.360        1        1
   5042.232        1        1
   5044.104        1        1
   5045.976        3        2
   5047.848        7        4
   5049.720       20        7
   5051.592        7        4
   5053.464       33        8
   5055.336       46        9
   5057.208       55       10
   5059.080       84       12
   5060.952       92       12
   5062.824      109       14
   5064.696      131       15
   5066.568      117       14
   5068.440      120       14
   5070.312      103       13
   5072.184       65       10
   5074.056       56       10
   5075.928       39        8
   5077.800       24        6
   5079.672       18        6
   5081.544        8        3
   5083.416        5        2
   5085.288        1        1
   5087.160        3        3
   5089.032        2        2
   5090.904        1        1
   5092.776        1        1
   5094.648        1        1
   5096.520        1        1
   5098.392        1        1
   5100.264        1        1
   5102.136        1        1
   5104.008        1        1
   5105.880        1        1
   5107.752        1        1
   5109.624        1        1
   5111.496        1        1
   5113.368        1        1
   5115.240        1        1
   5117.112        1        1
   5118.984        1        1
   5120.856        1        1
   5122.728        1        1
   5124.600        1        1
   5126.472        1        1
   5128.344        1        1
   5130.216        1        1
   5132.088        1        1
   5133.960        1        1
   5135.832        1        1
   5137.704        1        1
   5139.576        1        1
   5141.448        1        1
   5143.320        1        1
   5145.192        1        1
   5147.064        1        1
   5148.936        1        1
   5150.808        1        1
   5152.680        1        1
   5154.552        1        1
   5156.424        1        1
   5158.296        1        1
   5160.168        1        1
   5162.040        1        1
   5163.912        1        1
   5165.784        1        1
   5167.656        1        1
   5169.528        1        1
   5171.400        1        1
   5173.272        1        1
   5175.144        1        1
   5177.016        1        1
   5178.888        1        1
   5180.760        1        1
   5182.632        1        1
   5184.504        1        1
   5186.376        1        1
   5188.248        1        1
   5190.120        1        1
   5191.992        1        1
   5193.864        1        1
   5195.736        1        1
   5197.608        1        1
   5199.480        1        1
   5201.352        1        1
   5203.224        1        1
   5205.096        1        1
   5206.968        1        1
   5208.840        1        1
   5210.712        1        1
   5212.584        1        1
   5214.456        1        1
   5216.328        1        1
   5218.200        1        1
   5220.072        1        1
   5221.944        1        1
   5223.816        1        1
   5225.688        1        1
   5227.560        1        1
   5229.432        1        1
   5231.304        1        1
   5233.176        1        1
   5235.048        1        1
   5236.920        1        1
   5238.792        1        1
   5240.664        1        1
   5242.536        1        1
   5244.408        1        1
   5246.280        1        1
   5248.152        1        1
   5250.024        1        1
   5251.896        1        1
   5253.768        1        1
   5255.640        1        1
   5257.512        1        1
   5259.384        1        1
   5261.256        1        1
   5263.128        1        1
   5265.000        1        1
   5266.872        1        1
   5268.744        1        1
   5270.616        1        1
   5272.488        1        1
   5274.360        1        1
   5276.232        1        1
   5278.104        1        1
   5279.976        1        1
   5281.848        1        1
   5283.720        1        1
   5285.592        1        1
   5287.464        1        1
   5289.336        1        1
   5291.208        1        1
   5293.080        1        1
   5294.952        1        1
   5296.824        1        1
   5298.696        1        1
   5300.568        1        1
   5302.440        1        1
   5304.312        1        1
   5306.184        1        1
   5308.056        1        1
   5309.928        1        1
   5311.800        1        1
   5313.672        1        1
   5315.544        1        1
   5317.416        1        1
   5319.288        1        1
   5321.160        1        1
   5323.032        1        1
   5324.904        1        1
   5326.776        1        1
   5328.648        1        1
   5330.520        1        1
   5332.392        1        1
   5334.264        1        1
   5336.136        1        1
   5338.008        1        1
   5339.880        1        1
   5341.752        1        1
   5343.624        1        1
